areaCode,areaName,areaType,date,newCasesBySpecimenDateRollingRate
E06000003,Redcar and Cleveland,utla,2021-05-14,11.7
E06000014,York,utla,2021-05-14,12.8
E06000050,Cheshire West and Chester,utla,2021-05-14,9.9
E08000001,Bolton,utla,2021-05-14,301.5
E08000016,Barnsley,utla,2021-05-14,34.4
E08000031,Wolverhampton,utla,2021-05-14,12.9
E08000032,Bradford,utla,2021-05-14,39.1
E09000018,Hounslow,utla,2021-05-14,59.3
E09000032,Wandsworth,utla,2021-05-14,16.7
E09000033,Westminster,utla,2021-05-14,21.0
E10000034,Worcestershire,utla,2021-05-14,11.4
S12000013,Na h-Eileanan Siar,utla,2021-05-14,7.5
S12000029,South Lanarkshire,utla,2021-05-14,47.1
S12000045,East Dunbartonshire,utla,2021-05-14,46.0
W06000023,Powys,utla,2021-05-14,5.3
E06000003,Redcar and Cleveland,utla,2021-05-13,12.4
E06000014,York,utla,2021-05-13,15.2
E06000050,Cheshire West and Chester,utla,2021-05-13,11.7
E08000001,Bolton,utla,2021-05-13,283.1
E08000016,Barnsley,utla,2021-05-13,37.3
E08000031,Wolverhampton,utla,2021-05-13,15.6
E08000032,Bradford,utla,2021-05-13,39.3
E09000018,Hounslow,utla,2021-05-13,58.6
E09000032,Wandsworth,utla,2021-05-13,15.2
E09000033,Westminster,utla,2021-05-13,19.5
E10000034,Worcestershire,utla,2021-05-13,10.4
S12000013,Na h-Eileanan Siar,utla,2021-05-13,7.5
S12000029,South Lanarkshire,utla,2021-05-13,46.2
S12000045,East Dunbartonshire,utla,2021-05-13,37.7
W06000023,Powys,utla,2021-05-13,5.3
E06000003,Redcar and Cleveland,utla,2021-05-12,12.4
E06000014,York,utla,2021-05-12,16.1
E06000050,Cheshire West and Chester,utla,2021-05-12,11.7
E08000001,Bolton,utla,2021-05-12,274.4
E08000016,Barnsley,utla,2021-05-12,38.5
E08000031,Wolverhampton,utla,2021-05-12,15.6
E08000032,Bradford,utla,2021-05-12,40.8
E09000018,Hounslow,utla,2021-05-12,56.7
E09000032,Wandsworth,utla,2021-05-12,16.1
E09000033,Westminster,utla,2021-05-12,21.8
E10000034,Worcestershire,utla,2021-05-12,8.9
S12000013,Na h-Eileanan Siar,utla,2021-05-12,3.7
S12000029,South Lanarkshire,utla,2021-05-12,38.7
S12000045,East Dunbartonshire,utla,2021-05-12,37.7
W06000023,Powys,utla,2021-05-12,7.6
E06000003,Redcar and Cleveland,utla,2021-05-11,13.1
E06000014,York,utla,2021-05-11,16.1
E06000050,Cheshire West and Chester,utla,2021-05-11,11.1
E08000001,Bolton,utla,2021-05-11,251.8
E08000016,Barnsley,utla,2021-05-11,42.9
E08000031,Wolverhampton,utla,2021-05-11,17.8
E08000032,Bradford,utla,2021-05-11,41.3
E09000018,Hounslow,utla,2021-05-11,54.9
E09000032,Wandsworth,utla,2021-05-11,16.1
E09000033,Westminster,utla,2021-05-11,23.3
E10000034,Worcestershire,utla,2021-05-11,8.6
S12000013,Na h-Eileanan Siar,utla,2021-05-11,0.0
S12000029,South Lanarkshire,utla,2021-05-11,37.1
S12000045,East Dunbartonshire,utla,2021-05-11,23.9
W06000023,Powys,utla,2021-05-11,7.6
E06000003,Redcar and Cleveland,utla,2021-05-10,16.8
E06000014,York,utla,2021-05-10,15.2
E06000050,Cheshire West and Chester,utla,2021-05-10,11.1
E08000001,Bolton,utla,2021-05-10,224.7
E08000016,Barnsley,utla,2021-05-10,49.0
E08000031,Wolverhampton,utla,2021-05-10,19.7
E08000032,Bradford,utla,2021-05-10,42.6
E09000018,Hounslow,utla,2021-05-10,53.4
E09000032,Wandsworth,utla,2021-05-10,17.0
E09000033,Westminster,utla,2021-05-10,25.3
E10000034,Worcestershire,utla,2021-05-10,9.2
S12000013,Na h-Eileanan Siar,utla,2021-05-10,0.0
S12000029,South Lanarkshire,utla,2021-05-10,33.7
S12000045,East Dunbartonshire,utla,2021-05-10,22.1
W06000023,Powys,utla,2021-05-10,9.1
E06000003,Redcar and Cleveland,utla,2021-05-09,16.8
E06000014,York,utla,2021-05-09,16.1
E06000050,Cheshire West and Chester,utla,2021-05-09,11.4
E08000001,Bolton,utla,2021-05-09,189.2
E08000016,Barnsley,utla,2021-05-09,51.8
E08000031,Wolverhampton,utla,2021-05-09,18.2
E08000032,Bradford,utla,2021-05-09,42.4
E09000018,Hounslow,utla,2021-05-09,48.2
E09000032,Wandsworth,utla,2021-05-09,16.7
E09000033,Westminster,utla,2021-05-09,24.5
E10000034,Worcestershire,utla,2021-05-09,8.1
S12000013,Na h-Eileanan Siar,utla,2021-05-09,0.0
S12000029,South Lanarkshire,utla,2021-05-09,26.5
S12000045,East Dunbartonshire,utla,2021-05-09,22.1
W06000023,Powys,utla,2021-05-09,9.8
E06000003,Redcar and Cleveland,utla,2021-05-08,14.6
E06000014,York,utla,2021-05-08,15.7
E06000050,Cheshire West and Chester,utla,2021-05-08,9.0
E08000001,Bolton,utla,2021-05-08,161.4
E08000016,Barnsley,utla,2021-05-08,49.8
E08000031,Wolverhampton,utla,2021-05-08,19.0
E08000032,Bradford,utla,2021-05-08,42.1
E09000018,Hounslow,utla,2021-05-08,43.8
E09000032,Wandsworth,utla,2021-05-08,16.7
E09000033,Westminster,utla,2021-05-08,24.5
E10000034,Worcestershire,utla,2021-05-08,6.9
S12000013,Na h-Eileanan Siar,utla,2021-05-08,0.0
S12000029,South Lanarkshire,utla,2021-05-08,23.1
S12000045,East Dunbartonshire,utla,2021-05-08,22.1
W06000023,Powys,utla,2021-05-08,11.3
E06000003,Redcar and Cleveland,utla,2021-05-07,13.9
E06000014,York,utla,2021-05-07,14.7
E06000050,Cheshire West and Chester,utla,2021-05-07,9.0
E08000001,Bolton,utla,2021-05-07,150.2
E08000016,Barnsley,utla,2021-05-07,51.0
E08000031,Wolverhampton,utla,2021-05-07,17.5
E08000032,Bradford,utla,2021-05-07,43.2
E09000018,Hounslow,utla,2021-05-07,40.1
E09000032,Wandsworth,utla,2021-05-07,15.5
E09000033,Westminster,utla,2021-05-07,22.2
E10000034,Worcestershire,utla,2021-05-07,7.0
S12000013,Na h-Eileanan Siar,utla,2021-05-07,0.0
S12000029,South Lanarkshire,utla,2021-05-07,22.2
S12000045,East Dunbartonshire,utla,2021-05-07,21.2
W06000023,Powys,utla,2021-05-07,11.3
E06000003,Redcar and Cleveland,utla,2021-05-06,13.1
E06000014,York,utla,2021-05-06,12.3
E06000050,Cheshire West and Chester,utla,2021-05-06,9.6
E08000001,Bolton,utla,2021-05-06,130.8
E08000016,Barnsley,utla,2021-05-06,52.7
E08000031,Wolverhampton,utla,2021-05-06,17.1
E08000032,Bradford,utla,2021-05-06,44.3
E09000018,Hounslow,utla,2021-05-06,36.8
E09000032,Wandsworth,utla,2021-05-06,16.4
E09000033,Westminster,utla,2021-05-06,23.3
E10000034,Worcestershire,utla,2021-05-06,7.7
S12000013,Na h-Eileanan Siar,utla,2021-05-06,0.0
S12000029,South Lanarkshire,utla,2021-05-06,20.6
S12000045,East Dunbartonshire,utla,2021-05-06,24.9
W06000023,Powys,utla,2021-05-06,11.3
E06000003,Redcar and Cleveland,utla,2021-05-05,14.6
E06000014,York,utla,2021-05-05,13.3
E06000050,Cheshire West and Chester,utla,2021-05-05,9.9
E08000001,Bolton,utla,2021-05-05,117.2
E08000016,Barnsley,utla,2021-05-05,55.9
E08000031,Wolverhampton,utla,2021-05-05,16.7
E08000032,Bradford,utla,2021-05-05,45.9
E09000018,Hounslow,utla,2021-05-05,34.3
E09000032,Wandsworth,utla,2021-05-05,15.8
E09000033,Westminster,utla,2021-05-05,22.2
E10000034,Worcestershire,utla,2021-05-05,9.1
S12000013,Na h-Eileanan Siar,utla,2021-05-05,0.0
S12000029,South Lanarkshire,utla,2021-05-05,22.5
S12000045,East Dunbartonshire,utla,2021-05-05,28.5
W06000023,Powys,utla,2021-05-05,9.1
E06000003,Redcar and Cleveland,utla,2021-05-04,14.6
E06000014,York,utla,2021-05-04,14.7
E06000050,Cheshire West and Chester,utla,2021-05-04,9.0
E08000001,Bolton,utla,2021-05-04,97.4
E08000016,Barnsley,utla,2021-05-04,57.9
E08000031,Wolverhampton,utla,2021-05-04,16.3
E08000032,Bradford,utla,2021-05-04,49.3
E09000018,Hounslow,utla,2021-05-04,32.8
E09000032,Wandsworth,utla,2021-05-04,16.1
E09000033,Westminster,utla,2021-05-04,23.0
E10000034,Worcestershire,utla,2021-05-04,9.7
S12000013,Na h-Eileanan Siar,utla,2021-05-04,0.0
S12000029,South Lanarkshire,utla,2021-05-04,19.3
S12000045,East Dunbartonshire,utla,2021-05-04,39.6
W06000023,Powys,utla,2021-05-04,6.8
E06000003,Redcar and Cleveland,utla,2021-05-03,10.2
E06000014,York,utla,2021-05-03,12.8
E06000050,Cheshire West and Chester,utla,2021-05-03,10.2
E08000001,Bolton,utla,2021-05-03,86.6
E08000016,Barnsley,utla,2021-05-03,56.7
E08000031,Wolverhampton,utla,2021-05-03,13.7
E08000032,Bradford,utla,2021-05-03,48.5
E09000018,Hounslow,utla,2021-05-03,28.4
E09000032,Wandsworth,utla,2021-05-03,14.3
E09000033,Westminster,utla,2021-05-03,21.0
